"","id","name","12.5fmol-score","25fmol-score","50fmol-score"
"185","Q14974_KPNB1","Q14974_KPNB1","0.0714","-0.1042","0.0443"
"186","P55786_NPEPPS","P55786_NPEPPS","0.1041","-0.0182","-0.0839"
"187","A0A087WSX4","A0A087WSX4","0.0335","0.0635","-0.104"
"188","Q08380_LGALS3BP","Q08380_LGALS3BP","0.1036","-0.0513","-0.0466"
"189","P07237_P4HB","P07237_P4HB","0.1033","-0.0465","-0.0516"
"190","CON__P00761","CON__P00761","0.0129","-0.1032","0.1019"
"191","P19961_AMY2B","P19961_AMY2B","-5e-04","0.0929","-0.1028"
"192","P69905_HBA1","P69905_HBA1","-0.1024","0.0203","0.0799"
"193","B5MDF5_RAN","B5MDF5_RAN","0.1018","-0.0167","-0.0832"
"194","P61160-2_ACTR2","P61160-2_ACTR2","-0.1013","0.0751","0.0179"
"195","P21333_FLNA","P21333_FLNA","0.0951","-0.0225","-0.0701"
"196","P68871_HBB","P68871_HBB","-0.0951","0.0242","0.0682"
"197","A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3","0.095","-0.0424","-0.048"
"198","P62937_PPIA","P62937_PPIA","0.0446","0.0446","-0.0941"
"199","P62258_YWHAE","P62258_YWHAE","-0.0151","0.0918","-0.087"
"200","P32926_DSG3","P32926_DSG3","0.0917","-0.0382","-0.0492"
"201","P31946-2","P31946-2","0.0831","-0.0903","0.0172"
"202","P04264_KRT1","P04264_KRT1","0.0901","-0.0661","-0.0167"
"203","Q9UGM3-6_DMBT1","Q9UGM3-6_DMBT1","0.0891","-0.0854","0.0058"
"204","P04406_GAPDH","P04406_GAPDH","0.0863","-0.0261","-0.0573"
"205","P22079_LPO","P22079_LPO","0.0861","-0.008","-0.0772"
"206","P00558_PGK1","P00558_PGK1","0.0315","0.0467","-0.0834"
"207","P01714","P01714","-0.0827","0.0398","0.0385"
"208","CON__P60712_ACTB","CON__P60712_ACTB","0.0824","-0.0389","-0.0391"
"209","P01591_IGJ","P01591_IGJ","0.0819","-0.0406","-0.0368"
"210","P30044_PRDX5","P30044_PRDX5","-0.044","-0.0339","0.0817"
"211","P00338-3_LDHA","P00338-3_LDHA","0.0451","0.0324","-0.0811"
"212","P04080_CSTB","P04080_CSTB","0.0796","-0.0681","-0.0039"
"213","A0A087WZH9","A0A087WZH9","-0.0792","0.015","0.0625"
"214","Q01469_FABP5","Q01469_FABP5","0.0784","-0.0123","-0.0647"
"215","P52209_PGD","P52209_PGD","0.0329","0.0396","-0.0769"
"216","P02788_LTF","P02788_LTF","0.075","-0.0576","-0.011"
"217","P04899-4_GNAI2","P04899-4_GNAI2","0.0456","-0.0747","0.0374"
"218","P62328_TMSB4X","P62328_TMSB4X","-0.0668","0.0741","-0.0155"
"219","A0A075B6P5","A0A075B6P5","0.0703","-0.0709","0.0085"
"220","P06733_ENO1","P06733_ENO1","0.0406","0.027","-0.0706"
"221","P24158_PRTN3","P24158_PRTN3","-0.0582","0.0703","-0.0199"
"222","P22894_MMP8","P22894_MMP8","-0.0703","0.0044","0.0654"
"223","J3KPA1_CRISP3","J3KPA1_CRISP3","0.042","-0.0687","0.0343"
"224","P11021_HSPA5","P11021_HSPA5","0.0666","-0.0372","-0.0253"
"225","P13797_PLS3","P13797_PLS3","0.0244","-0.0659","0.0487"
"226","Q96DR5_BPIFA2","Q96DR5_BPIFA2","0.0158","-0.0647","0.056"
"227","P01763","P01763","-0.0338","-0.0267","0.0635"
"228","CON__P13645_KRT10","CON__P13645_KRT10","0.036","-0.062","0.0328"
"229","P31025_LCN1","P31025_LCN1","0.0546","-0.062","0.0142"
"230","P09211_GSTP1","P09211_GSTP1","0.0617","-0.0268","-0.0319"
"231","P07737_PFN1","P07737_PFN1","0.0024","0.0528","-0.0611"
"232","P14618_PKM2","P14618_PKM2","0.0601","-0.0134","-0.0452"
"233","Q68D86_CCDC102B","Q68D86_CCDC102B","0.0329","-0.0591","0.0328"
"234","A0A075B6R9","A0A075B6R9","0.0362","-0.0591","0.0294"
"235","P09382_LGALS1","P09382_LGALS1","-0.0207","-0.0327","0.0571"
"236","P30740_SERPINB1","P30740_SERPINB1","0.0549","-0.0459","-0.004"
"237","P04075-2_ALDOA","P04075-2_ALDOA","0.025","0.0256","-0.0534"
"238","P59998-3_ARPC4","P59998-3_ARPC4","0.0534","-0.0089","-0.0435"
"239","P63261_ACTG1","P63261_ACTG1","0.0349","0.0166","-0.0533"
"240","X6R8F3_LCN2","X6R8F3_LCN2","-0.0491","0.0499","-0.0064"
"241","P25311_AZGP1","P25311_AZGP1","0.0495","-0.0372","-0.0082"
"242","P06396_GSN","P06396_GSN","0.009","0.0358","-0.0488"
"243","Q9UG63-2_ABCF2","Q9UG63-2_ABCF2","-0.0106","-0.0331","0.0474"
"244","A0A075B6L0_IGLC3","A0A075B6L0_IGLC3","-0.0372","0.0472","-0.0152"
"245","P06454_PTMA","P06454_PTMA","0.0175","-0.047","0.0348"
"246","P60174_TPI1","P60174_TPI1","0.012","0.0309","-0.0463"
"247","P31151_S100A7","P31151_S100A7","0.0146","0.0282","-0.046"
"248","P13796_LCP1","P13796_LCP1","-0.0457","0.0397","0.0016"
"249","P19971-2_TYMP","P19971-2_TYMP","0.0347","-0.0454","0.0158"
"250","P11142_HSPA8","P11142_HSPA8","-0.0454","0.0383","0.0028"
"251","P10599_TXN","P10599_TXN","0.0441","-0.0298","-0.011"
"252","P08670_VIM","P08670_VIM","0.0428","-0.0401","0.0018"
