protein,protein frequency,X12.5fmol_C1,X12.5fmol_C2,X12.5fmol_C3,X12.5fmol_C4,X12.5fmol_C5,X12.5fmol_Ro,X12.5fmol_C8,X12.5fmol_C9,X12.5fmol_C10,X25fmol_semtumorS36,X25fmol_semtumorS09,X25fmol_semtumorS40,X25fmol_semtumorS49,X25fmol_semtumorS55,X25fmol_semtumorS57,X25fmol_semtumorS61,X25fmol_semtumorS64,X25fmol_semtumorS68,X25fmol_semtumorT16,X50fmol_T1T2S17,X50fmol_T1T2S57,X50fmol_T1T2S77,X50fmol_T1T2S78,X50fmol_T1T2S79,X50fmol_T1T2T12,X50fmol_T1T2T20,X50fmol_T1T2T22,X50fmol_T1T2T23,X100fmol_T3T4S44,X100fmol_T3T4S45,X100fmol_T3T4S81,X100fmol_T3T4S82,X100fmol_T3T4T13,X100fmol_T3T4T2,X100fmol_T3T4T5,X100fmol_T3T4T65,X100fmol_T3T4T9,X100fmol_T3T4S32
CON__P02538_KRT6A  ,0                  ,30.60708           ,30.5286            ,31.26428           ,24.8009            ,23.37518           ,28.33053           ,25.22887           ,28.91678           ,25.23706           ,25.67721           ,22.85905           ,25.39839           ,23.43949           ,25.77558           ,23.26155           ,26.74175           ,25.83774           ,27.7939            ,23.0424            ,25.56416           ,32.00256           ,23.79412           ,24.3041            ,25.27444           ,25.36506           ,25.36058           ,26.29104           ,25.585             ,23.5373            ,25.31783           ,25.67295           ,27.34858           ,28.21863           ,25.82017           ,33.12323           ,25.97928           ,33.085             ,31.79339           
CON__P02768_1_ALB  ,2670               ,32.49907           ,31.84266           ,33.13903           ,33.21926           ,32.45946           ,33.04071           ,33.79682           ,33.82003           ,33.03256           ,35.61473           ,35.39321           ,34.5097            ,34.01047           ,34.63401           ,34.77608           ,33.386             ,32.70551           ,33.76406           ,34.79976           ,34.04254           ,34.06712           ,34.04669           ,32.71739           ,31.42162           ,34.415             ,33.48292           ,34.01305           ,35.75725           ,34.82549           ,33.65288           ,31.74539           ,34.09459           ,34.10875           ,33.23606           ,31.66619           ,35.29108           ,31.73896           ,32.94683           
CON__P02769_ALB    ,5184               ,28.74525           ,28.0805            ,26.34472           ,27.38772           ,28.24441           ,26.89735           ,27.61933           ,27.96069           ,27.3226            ,28.71394           ,29.43597           ,28.11857           ,27.87074           ,27.92965           ,29.18369           ,28.22578           ,28.6268            ,27.31536           ,28.17112           ,28.95848           ,28.49953           ,29.11135           ,29.91042           ,29.81757           ,30.74751           ,30.36045           ,29.85004           ,29.61742           ,30.63945           ,30.10237           ,31.18187           ,29.85418           ,29.42742           ,30.29691           ,28.945             ,28.81598           ,28.41659           ,29.07503           
CON__P08779_KRT16  ,580                ,28.77342           ,28.62289           ,28.41418           ,25.4309            ,23.18065           ,25.55221           ,25.8776            ,29.22073           ,26.27658           ,26.82627           ,0                  ,24.90044           ,23.27242           ,25.58758           ,23.05522           ,24.67228           ,25.71159           ,27.05672           ,23.79966           ,27.05559           ,29.59226           ,26.2325            ,25.14414           ,25.40704           ,26.79154           ,25.22817           ,27.50469           ,0                  ,24.84962           ,25.25688           ,28.26656           ,27.16902           ,27.98761           ,25.62675           ,31.90441           ,25.98828           ,30.56665           ,28.76265           
CON__P13645_KRT10  ,0                  ,25.53733           ,26.52383           ,26.28275           ,22.6541            ,23.71408           ,22.48439           ,24.61543           ,25.95901           ,25.21719           ,24.04519           ,24.42496           ,25.23213           ,24.15406           ,25.19772           ,24.01699           ,25.34028           ,23.45826           ,22.96199           ,24.0712            ,24.32306           ,27.33185           ,24.76182           ,24.4479            ,23.98746           ,26.24867           ,24.32656           ,23.90334           ,24.38047           ,23.42637           ,23.06261           ,26.80304           ,25.07165           ,22.81814           ,22.91178           ,26.37305           ,22.29782           ,26.67963           ,25.46023           
CON__P13646_1      ,1                  ,30.76928           ,30.39489           ,32.68026           ,24.07496           ,22.66923           ,28.53771           ,21.88993           ,25.43962           ,26.58892           ,23.15572           ,27.33347           ,28.07117           ,24.90734           ,22.13596           ,0                  ,27.4434            ,21.63848           ,26.2245            ,0                  ,26.69219           ,32.13803           ,22.44177           ,23.41364           ,23.12588           ,22.72586           ,27.10759           ,25.35726           ,0                  ,0                  ,24.40315           ,27.54289           ,24.87136           ,29.23389           ,25.26578           ,33.15046           ,21.19406           ,33.35245           ,32.34072           
CON__P13647_KRT5   ,70                 ,26.6637            ,27.40422           ,27.1736            ,0                  ,0                  ,25.02272           ,22.34012           ,26.57259           ,22.03268           ,21.75858           ,0                  ,22.06855           ,22.76448           ,23.89634           ,0                  ,0                  ,0                  ,24.64631           ,0                  ,22.15956           ,28.30748           ,21.9699            ,0                  ,0                  ,0                  ,22.68376           ,21.92575           ,23.26971           ,0                  ,21.44162           ,23.32896           ,23.99955           ,27.24654           ,0                  ,29.1902            ,26.08316           ,29.20233           ,27.59356           
CON__P19013        ,1708               ,27.10009           ,28.27382           ,30.78386           ,24.38509           ,20.39947           ,26.85507           ,24.57998           ,24.32985           ,24.0685            ,0                  ,24.37312           ,22.2064            ,22.29275           ,22.76871           ,0                  ,0                  ,21.21945           ,20.06342           ,0                  ,23.34706           ,29.88408           ,22.62961           ,0                  ,0                  ,0                  ,25.18476           ,23.59889           ,0                  ,0                  ,24.90307           ,0                  ,22.99502           ,28.57582           ,24.17341           ,30.08309           ,18.41761           ,31.62867           ,30.26584           
CON__P35527_KRT9   ,1                  ,21.70923           ,20.96445           ,23.39611           ,0                  ,0                  ,21.70227           ,24.00513           ,28.15282           ,19.59266           ,21.65417           ,0                  ,23.06919           ,23.51953           ,27.76205           ,23.30117           ,23.75969           ,22.30421           ,22.76              ,21.35767           ,20.36003           ,21.52339           ,23.78187           ,0                  ,23.64603           ,21.81581           ,0                  ,0                  ,23.36426           ,24.19046           ,22.15122           ,22.55815           ,23.55766           ,21.50281           ,22.7977            ,19.9333            ,23.07936           ,21.11737           ,24.25976           
CON__P60712_ACTB   ,0                  ,26.31417           ,26.17887           ,25.843             ,26.7145            ,25.36102           ,25.32701           ,26.62031           ,25.80836           ,27.33977           ,23.69466           ,24.72031           ,26.9223            ,26.40938           ,26.76471           ,24.82546           ,23.72088           ,26.75939           ,25.33204           ,26.0086            ,26.42777           ,25.2809            ,25.2585            ,25.34925           ,25.38532           ,25.31316           ,27.01776           ,25.53083           ,23.86985           ,25.09487           ,27.94531           ,26.58749           ,24.85757           ,27.43468           ,25.89152           ,26.07006           ,26.03116           ,25.41116           ,26.22907           
CON__Q3MHH8        ,1048               ,20.79146           ,21.83584           ,23.03867           ,21.96839           ,26.43603           ,30.01824           ,19.71026           ,19.55882           ,25.78499           ,21.96776           ,23.21815           ,21.01257           ,25.58437           ,24.98802           ,26.86644           ,27.0625            ,28.0102            ,22.11337           ,27.66777           ,15.95322           ,17.58182           ,16.98471           ,0                  ,28.1208            ,18.28102           ,24.05117           ,18.66508           ,23.40549           ,16.24182           ,0                  ,29.60908           ,23.31188           ,26.13034           ,22.51319           ,0                  ,26.21152           ,26.29391           ,0                  
D6RF35_GC          ,5148               ,24.09442           ,22.81304           ,26.32944           ,24.95602           ,24.86566           ,25.38073           ,24.56028           ,24.7963            ,24.85372           ,28.26302           ,27.0502            ,26.73854           ,24.35984           ,26.20038           ,26.86207           ,25.3948            ,25.73877           ,26.63851           ,26.94893           ,26.72208           ,26.59634           ,26.09418           ,25.14895           ,23.00961           ,26.15271           ,26.19267           ,25.6193            ,26.26842           ,26.70491           ,25.13684           ,24.52666           ,25.7715            ,28.05517           ,24.93988           ,25.32433           ,27.49846           ,24.91547           ,25.33623           
E5RHG6_TBCA        ,2887               ,21.02999           ,20.97162           ,20.92455           ,21.93416           ,0                  ,21.1038            ,22.22066           ,21.28523           ,21.51869           ,22.40187           ,21.03335           ,21.81339           ,23.00636           ,21.64623           ,20.64509           ,20.91452           ,21.33282           ,22.4819            ,21.61279           ,21.87695           ,21.09036           ,20.22682           ,21.11737           ,19.96056           ,21.52018           ,22.95349           ,21.66952           ,22.38664           ,20.65543           ,21.73723           ,21.34169           ,20.19172           ,21.36314           ,20.64421           ,0                  ,0                  ,0                  ,20.75336           
