*N,acc_tree,groups
3,0.833333333333,CON__P00761,P04080_CSTB,P68032_ACTC1
3,0.833333333333,CON__P00761,P04080_CSTB,P20618_PSMB1
3,0.888888888889,CON__P00761,P04080_CSTB,P04264_KRT1
3,0.833333333333,CON__P00761,P04080_CSTB,Q9HD89_RETN
3,0.833333333333,CON__P00761,P04080_CSTB,P55786_NPEPPS
3,0.888888888889,CON__P00761,P04080_CSTB,P01763
3,0.833333333333,CON__P00761,P04080_CSTB,P10412_HIST1H1E
3,0.833333333333,CON__P00761,P04080_CSTB,P04004_VTN
3,0.833333333333,CON__P00761,P04080_CSTB,Q9UGM3_6_DMBT1
3,0.833333333333,CON__P00761,P04080_CSTB,P01008_SERPINC1
3,0.833333333333,CON__P00761,P04080_CSTB,P19823_ITIH2
3,0.888888888889,CON__P00761,P04080_CSTB,P62942_FKBP1A
3,0.833333333333,CON__P00761,P04080_CSTB,CON__P13645_KRT10
3,0.833333333333,CON__P00761,P04080_CSTB,P02675_FGB
3,0.833333333333,CON__P00761,P04080_CSTB,P20061_TCN1
3,0.833333333333,CON__P00761,P04080_CSTB,P21333_FLNA
3,0.833333333333,CON__P00761,P04080_CSTB,P09382_LGALS1
3,0.888888888889,CON__P00761,P04080_CSTB,P01624
3,0.833333333333,CON__P00761,P04080_CSTB,P0C0L5_C4B
3,0.888888888889,CON__P00761,P04080_CSTB,P62937_PPIA
3,0.833333333333,CON__P00761,P04080_CSTB,P40925_3_MDH1
3,0.833333333333,CON__P00761,P04080_CSTB,P30740_SERPINB1
3,0.833333333333,CON__P00761,P04080_CSTB,P61160_2_ACTR2
3,0.833333333333,CON__P00761,P04080_CSTB,Q68D86_CCDC102B
3,0.888888888889,CON__P00761,P04080_CSTB,E9PK25_CFL1
3,0.833333333333,CON__P00761,P04080_CSTB,P23280_CA6
3,0.833333333333,CON__P00761,P04080_CSTB,P01616
3,0.888888888889,CON__P00761,P04080_CSTB,Q8TAX7_MUC7
3,0.833333333333,CON__P00761,P04080_CSTB,P22532_SPRR2D
3,0.888888888889,CON__P00761,P04080_CSTB,P00558_PGK1
3,0.833333333333,CON__P00761,P04080_CSTB,P06870_KLK1
3,0.833333333333,CON__P00761,P04080_CSTB,P16403_HIST1H1C
3,0.888888888889,CON__P00761,P30044_PRDX5,P01009_SERPINA1
3,0.888888888889,CON__P00761,P30044_PRDX5,P01008_SERPINC1
3,0.833333333333,CON__P00761,P30044_PRDX5,P02675_FGB
3,0.833333333333,CON__P00761,Q9BRF8_CPPED1,P05386_RPLP1
3,0.888888888889,CON__P00761,P08670_VIM,P01009_SERPINA1
3,0.833333333333,CON__P00761,P08670_VIM,P00330_ADH1
3,0.944444444444,CON__P00761,P18669_PGAM1,P05386_RPLP1
3,0.833333333333,CON__P00761,P18669_PGAM1,P01009_SERPINA1
3,0.833333333333,CON__P00761,P18669_PGAM1,P01008_SERPINC1
3,0.944444444444,CON__P00761,P05386_RPLP1,P23381_WARS
3,0.944444444444,CON__P00761,P05386_RPLP1,P61626_LYZ
3,0.833333333333,CON__P00761,P05386_RPLP1,A0A075B6R9
3,0.833333333333,CON__P00761,P05386_RPLP1,P13688_CEACAM1
3,0.833333333333,CON__P00761,P05386_RPLP1,P63261_ACTG1
3,0.944444444444,CON__P00761,P05386_RPLP1,P62328_TMSB4X
3,0.944444444444,CON__P00761,P05386_RPLP1,P68032_ACTC1
3,0.833333333333,CON__P00761,P05386_RPLP1,P32926_DSG3
3,0.944444444444,CON__P00761,P05386_RPLP1,P20618_PSMB1
3,0.944444444444,CON__P00761,P05386_RPLP1,Q9HD89_RETN
3,0.833333333333,CON__P00761,P05386_RPLP1,P01763
3,0.833333333333,CON__P00761,P05386_RPLP1,P10412_HIST1H1E
3,0.833333333333,CON__P00761,P05386_RPLP1,P31025_LCN1
3,0.833333333333,CON__P00761,P05386_RPLP1,P04004_VTN
3,0.833333333333,CON__P00761,P05386_RPLP1,Q9UGM3_6_DMBT1
3,0.888888888889,CON__P00761,P05386_RPLP1,P01008_SERPINC1
3,0.944444444444,CON__P00761,P05386_RPLP1,A0A087WZW8
3,0.833333333333,CON__P00761,P05386_RPLP1,P25311_AZGP1
3,0.833333333333,CON__P00761,P05386_RPLP1,P19823_ITIH2
