	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_Ro	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
genes	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol
P06753_2_TPM3	27.17731	24.9308	25.50431	25.70319	24.79015	25.51767	25.87807	24.45839	27.09204	25.74168	24.56413	23.55462	25.58678	24.19543	25.74242	27.06599	25.56651	24.25559	25.43644	27.56275	25.42864	23.75929
Q9Y6R7_FCGBP	23.28263	23.48013	22.60675	0	25.35225	23.38166	21.94149	0	0	22.12146	25.18507	22.73084	22.54399	22.64055	23.96992	21.66049	22.49365	23.96886	23.4424	22.70641	0	24.0974
A0A087WZH9	21.1994	21.6054	22.70518	21.90021	21.95049	22.70181	22.68684	22.84007	22.01635	21.97872	23.15405	22.70284	22.8068	23.16134	22.22853	22.89903	23.6971	23.41622	22.01114	21.58806	23.55344	22.5656
A0A087WZM2_RNASET2	22.16463	22.34232	22.57683	22.02052	22.63655	21.02803	22.70126	19.83453	21.25529	23.65731	22.46064	22.42378	22.54465	22.9196	22.09787	21.88985	21.94181	21.28625	21.92419	0	20.85118	21.03805
A0A087WZW8	30.49762	30.29439	30.79048	30.37472	31.58217	31.00223	30.91848	31.68683	30.73538	30.51766	31.10631	32.00935	31.18453	30.73425	30.69528	30.34657	31.44786	31.34377	31.24864	30.5819	31.72688	30.26293
A0A087X130	25.40152	25.00513	25.48977	24.98594	26.41918	25.83896	24.77535	26.77115	26.49492	24.83716	25.23714	21.42327	26.09559	25.26399	25.89899	0	26.51438	25.53996	26.04049	0	26.19143	25.32855
A0A075B6P5	26.40834	26.97651	26.82784	26.40111	27.62916	27.68899	27.29448	26.93134	26.2205	24.88651	25.67058	26.73982	24.75547	27.29386	25.95956	26.32279	27.44695	27.75239	26.60031	27.31277	26.80919	26.20885
A0A087X2C0	28.66587	25.98642	27.61547	26.11973	28.51281	26.92649	28.75656	28.93284	27.77379	25.32968	27.29342	27.73447	26.8925	32.12417	27.17883	26.26143	27.82402	25.6075	27.18764	27.38542	26.34623	26.02249
Q06830_PRDX1	26.35948	25.64878	26.67721	26.63048	24.09039	24.4197	25.30462	24.79203	22.45405	25.02433	23.09083	23.59012	24.1453	26.43598	23.85329	23.84623	24.23805	25.12278	24.19806	24.3575	24.83007	26.23129
P13797_PLS3	21.71142	0	21.28681	20.56987	0	19.97225	20.58068	23.14619	0	21.46139	0	20.54274	20.72201	20.46563	20.86136	20.53488	0	21.12893	0	20.98343	21.32647	20.40925
A8K2U0_A2ML1	27.11991	26.7543	28.23165	26.61063	24.30939	25.97596	26.77354	25.84108	23.37226	25.54233	25.72231	25.56119	26.51847	28.2332	25.03103	0	24.5313	26.47523	25.99593	26.94971	25.06217	27.52328
P08670_VIM	28.20116	25.31347	24.35521	27.74926	23.41145	26.95094	25.10749	22.55171	26.19308	24.4861	24.34908	23.62266	26.81323	23.91944	27.78444	27.68291	25.21601	24.35144	24.72234	27.16048	26.8447	22.46712
P15153_RAC2	21.39441	23.13715	21.7921	22.41323	0	21.48522	24.41506	22.99376	25.12755	24.15205	22.62745	21.26894	23.41584	21821	22.72151	22.43497	22.81878	22.2436	22.82501	22.27313	23.27355	21.83588
P09429_HMGB1	23.95296	23.65392	23.33019	22.83353	0	23.25681	23.19691	22.39257	24.13477	23.87352	0	0	0	22.69872	22.68344	23.10641	22.86096	22.63068	22.85835	23.92406	23.23643	22.87701
P62258_YWHAE	23.27711	23.49704	25.85012	24.25803	0	23.25839	24.84489	22.95093	22.82425	23.31921	22.27398	21.90536	22.4551	22.30034	22.2944	22.70079	22.74207	22.61809	22.62326	24.8699	23.59423	0
B4E1Z4_CFB	21.97442	0	21.57778	22.01137	0	22.63318	23.41313	25.69328	23.58623	23.16028	23.66687	23.77062	0	23.46476	24.04068	23.8956	23.99826	23.19646	22.3942	22.9823	23.03184	0
B5MDF5_RAN	22.64922	21.52593	21.82559	22.84891	0	21.5346	22.02965	21.35547	22.18595	22.38659	0	0	21.67878	22.11937	21.67521	22.03268	20.79329	0	21.53193	22.09799	20.34765	0
B7Z6Z4_MYL6	24.39637	23.94905	25.52731	24.40626	22.02979	24.15846	25.93885	22.07803	24.47698	23.13377	21.31562	20.30285	23.28673	22.90261	22.70271	23.7168	22.46576	21.81585	0	21.70151	23.47655	0
P06454_PTMA	21.98169	0	21.53697	20.59368	0	22.26181	0	0	22.56088	21.4978	0	0	21.87354	21.44253	0	0	0	0	21.59122	23.85243	21.18071	22.91024
P40925_3_MDH1	21.35461	21.73781	23.47605	22.99843	22.00611	21.35256	22.38303	23.15108	21.42829	21.90364	21.79836	22.34725	22.23269	24.55356	0	21.83915	21.53203	21.23034	22.03892	22065	21.10181	22.43794
P51149_RAB7A	22.3765	0	23.75878	22.0466	0	22.88972	21.44319	21.85582	22.84004	24.53356	23.78835	23.4545	21.59282	21.22576	22.25096	22.27858	0	24.91743	23.3254	22.38845	22.32336	22.57798
C9JC84_FGG	24.66823	23.4462	22.20842	22.44149	22.34232	25.26646	24.16323	27.19357	25.07847	24.35219	24.07227	26.07849	23.9898	24.74212	24.9646	27.7335	27.1205	24.19039	26.17501	23.91834	24.5128	23.04562
P19971_2_TYMP	21.8027	0	21.86491	22.37194	0	0	22.35208	20.99631	21.22888	22.87789	0	0	21.45628	25.14071	0	21.5326	19.85583	0	0	22.32028	21.39608	0
Q9UG63_2_ABCF2	21.96997	0	21.6035	0	23.40808	0	18.41625	0	23.77012	0	0	23.28433	0	22.36983	0	0	0	0	24.44493	0	23.87923	23.27099
P30838_ALDH3A1	21.93991	22.54291	25.1728	24.66682	23.36373	23.3948	22.76632	22.54898	0	23.05373	21.8247	21.71875	0	22.4937	20.71674	0	22.50891	23.97867	0	23.39898	21.69541	25.68568
C9JV77_AHSG	23.02061	24.46108	23.56081	24.05796	23.26342	23.61032	25.41361	26.10121	26.51422	22.95434	26.06244	22.84785	21.57006	22.90591	25.52391	24.51244	25.73846	21.54496	24.75333	25.92379	24.43358	27.26105
O15145_ARPC3	21.80526	20.6696	22.38919	21.49512	0	20.52076	22.65467	20.84995	21.56876	23.05733	0	20.44738	20.92789	20.6838	19.61268	21.2304	20.8495	20.53953	21.07725	0	20.36549	0
CON__P00761	30.59174	31.28135	30.33383	30.70849	32.30452	31.39596	31.14407	30.18021	30.56484	30.80101	30.08917	31.22389	30.73513	29.61205	30.53631	31.92153	31.55728	32.30021	32.7031	32.0842	31.50043	31.55723
CON__P01966	31.40472	23.11149	23.6572	27.21614	24.09893	27.92846	22.30062	27.99016	27.54584	26.77329	24.39441	0	24.52079	26.90976	27.33398	27.6618	27.63734	27.87279	29.18168	28.42001	25.78938	26.75047
CON__P02538_KRT6A	24.80632	31.00001	31.54015	25.51373	25.91691	25.66544	28.79829	25.44376	25.6672	24.08602	23.0492	27.37285	25.38663	26.87666	24.02471	26.22577	23.95225	25.1268	25.32906	25.96768	26.24151	25.18794
CON__P02768_1_ALB	33.1657	32.00092	33.26752	33.4746	32.61173	33.93025	33.20353	35.75809	34.62489	34.05342	34.94751	33.46794	32.79761	33.88731	34.92003	34.17333	34.08012	32.74735	34.5491	33.55202	34.16564	35.97918
CON__P08779_KRT16	26.37043	28.30099	28.21697	25.12175	23.16157	25.88148	25.09442	26.67667	24.71298	23.47209	23.19331	24.53937	25.16246	26.98566	24.65938	26.49496	26.10464	24.78626	26.28244	24.91488	27.52425	0
CON__P13645_KRT10	25.4651	26.47209	26.2062	22.57082	24.59548	24.85946	22.3965	23.94842	25.17478	24.08958	23.90178	25.35485	23.38916	22.83246	23.89587	24.47141	24.61167	24.24452	26.24367	24.41132	23.87361	24.29929
CON__P13646_1	26.5528	31.44608	33.10717	24.29936	24.29551	22.41294	28.83026	24.92588	28.37318	25.14429	25.98527	27.15605	22.65163	26.65417	26.22122	26.49215	23.63854	25.23063	23.68699	26.94201	25.75292	0
