"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"229",229,0,"Q14697-2_GANAB",0.648148148148148
"230",230,0,"P61160-2_ACTR2",0.648148148148148
"231",231,0,"P0C0L5_C4B",0.675925925925926
"232",232,0,"O00764_PDXK",0.648148148148148
"233",233,0,"P55786_NPEPPS",0.685185185185185
"234",234,0,"P11413-2_G6PD",0.675925925925926
"235",235,0,"P04406_GAPDH",0.675925925925926
"236",236,0,"E7EX29_YWHAZ",0.648148148148148
"237",237,0,"P02788_LTF",0.675925925925926
"238",238,0,"E7EQR4_EZR",0.638888888888889
"239",239,0,"E5RHG6_TBCA",0.638888888888889
"240",240,0,"D6RF35_GC",0.592592592592593
"241",241,0,"CON__Q3MHH8",0.675925925925926
"242",242,0,"CON__P60712_ACTB",0.601851851851852
"243",243,0,"CON__P35527_KRT9",0.703703703703704
"244",244,0,"CON__P13646-1",0.601851851851852
"245",245,0,"CON__P13645_KRT10",0.638888888888889
"246",246,0,"CON__P08779_KRT16",0.555555555555556
"247",247,0,"CON__P02768-1_ALB",0.648148148148148
"248",248,0,"CON__P02538_KRT6A",0.685185185185185
"249",249,0,"CON__P01966",0.583333333333333
"250",250,0,"O15145_ARPC3",0.638888888888889
"251",251,0,"C9JV77_AHSG",0.62037037037037
"252",252,0,"P30838_ALDH3A1",0.675925925925926
"253",253,0,"Q9UG63-2_ABCF2",0.638888888888889
"254",254,0,"P19971-2_TYMP",0.592592592592593
"255",255,0,"C9JC84_FGG",0.685185185185185
"256",256,0,"P51149_RAB7A",0.648148148148148
"257",257,0,"P40925-3_MDH1",0.592592592592593
"258",258,0,"P06454_PTMA",0.685185185185185
"259",259,0,"B7Z6Z4_MYL6",0.62962962962963
"260",260,0,"B5MDF5_RAN",0.574074074074074
"261",261,0,"B4E1Z4_CFB",0.685185185185185
"262",262,0,"P62258_YWHAE",0.675925925925926
"263",263,0,"P15153_RAC2",0.675925925925926
"264",264,0,"P08670_VIM",0.638888888888889
"265",265,0,"A8K2U0_A2ML1",0.666666666666667
"266",266,0,"P13797_PLS3",0.601851851851852
"267",267,0,"A0A087X2C0",0.685185185185185
"268",268,0,"A0A087X130",0.62962962962963
"269",269,0,"A0A087WZM2_RNASET2",0.592592592592593
"270",270,0,"Q9Y6R7_FCGBP",0.601851851851852
"271",271,0,"P06753-2_TPM3",0.611111111111111
"272",272,0,"A0A087WV47_IGHG1",0.666666666666667
"273",273,0,"A0A0A0MS15",0.601851851851852
"274",274,0,"A0A087WX49_IGLL5",0.611111111111111
"275",275,0,"P19823_ITIH2",0.611111111111111
"276",276,0,"A0A087WT59_TTR",0.574074074074074
"277",277,0,"A0A087WSX4",0.62962962962963
"278",278,0,"A0A075B6R9",0.62962962962963
"279",279,0,"P06331",0.638888888888889
"280",280,0,"A0A075B6L0_IGLC3",0.657407407407407
"281",281,0,"A0A024R6X1_CES2",0.648148148148148
