source,target,weight
Q99879_HIST1H2BM,P62937_PPIA,1
CON__P00761,P62937_PPIA,7
Q99879_HIST1H2BM,P06454_PTMA,1
CON__P00761,P06454_PTMA,3
Q99879_HIST1H2BM,CON__P01966,1
Q99879_HIST1H2BM,P30740_SERPINB1,1
Q99879_HIST1H2BM,P61160_2_ACTR2,1
CON__P00761,P61160_2_ACTR2,5
Q99879_HIST1H2BM,CON__P02538_KRT6A,1
CON__P00761,CON__P02538_KRT6A,1
Q99879_HIST1H2BM,P14618_PKM2,1
CON__P00761,P14618_PKM2,4
Q99879_HIST1H2BM,E9PK25_CFL1,1
CON__P00761,E9PK25_CFL1,4
Q99879_HIST1H2BM,P23280_CA6,1
CON__P00761,P23280_CA6,7
Q99879_HIST1H2BM,P01616,1
CON__P00761,P01616,8
Q99879_HIST1H2BM,Q8TAX7_MUC7,1
CON__P00761,Q8TAX7_MUC7,5
Q99879_HIST1H2BM,P00558_PGK1,1
CON__P00761,P00558_PGK1,4
Q99879_HIST1H2BM,P02671_FGA,1
CON__P00761,P02671_FGA,3
Q99879_HIST1H2BM,P01859_IGHG2,1
CON__P00761,P01859_IGHG2,10
Q99879_HIST1H2BM,Q9UKR3_KLK13,1
CON__P00761,Q9UKR3_KLK13,5
Q99879_HIST1H2BM,A0A087WV23_SH3BGRL3,1
A0A087WZM2_RNASET2,P04080_CSTB,1
A0A087WZM2_RNASET2,P05386_RPLP1,1
A0A087WZM2_RNASET2,P02675_FGB,1
A0A087WZM2_RNASET2,P00330_ADH1,1
A0A087WZM2_RNASET2,A0A087WV23_SH3BGRL3,1
P04080_CSTB,P30044_PRDX5,1
CON__P00761,P30044_PRDX5,4
P04080_CSTB,Q9BRF8_CPPED1,1
P04080_CSTB,P08670_VIM,1
P04080_CSTB,Q8TDL5_BPIFB1,1
P04080_CSTB,P01009_SERPINA1,1
P04080_CSTB,P13688_CEACAM1,1
P04080_CSTB,P68032_ACTC1,1
CON__P00761,P68032_ACTC1,3
P04080_CSTB,P20618_PSMB1,1
P04080_CSTB,P04264_KRT1,1
P04080_CSTB,Q9HD89_RETN,1
P04080_CSTB,P55786_NPEPPS,1
P04080_CSTB,P01763,1
P04080_CSTB,P10412_HIST1H1E,1
P04080_CSTB,P04004_VTN,1
P04080_CSTB,Q9UGM3_6_DMBT1,1
P04080_CSTB,P01008_SERPINC1,1
P04080_CSTB,P19823_ITIH2,1
CON__P00761,P19823_ITIH2,4
P04080_CSTB,P62942_FKBP1A,1
P04080_CSTB,CON__P13645_KRT10,1
CON__P00761,CON__P13645_KRT10,2
P04080_CSTB,P02675_FGB,1
P04080_CSTB,P20061_TCN1,1
P04080_CSTB,P21333_FLNA,1
P04080_CSTB,P09382_LGALS1,1
P04080_CSTB,P01624,1
P04080_CSTB,P0C0L5_C4B,1
CON__P00761,P0C0L5_C4B,3
P04080_CSTB,P62937_PPIA,1
P04080_CSTB,P40925_3_MDH1,1
CON__P00761,P40925_3_MDH1,4
P04080_CSTB,P30740_SERPINB1,1
P04080_CSTB,P61160_2_ACTR2,1
P04080_CSTB,Q68D86_CCDC102B,1
CON__P00761,Q68D86_CCDC102B,5
P04080_CSTB,E9PK25_CFL1,1
P04080_CSTB,P23280_CA6,1
P04080_CSTB,P01616,1
P04080_CSTB,Q8TAX7_MUC7,1
P04080_CSTB,P22532_SPRR2D,1
CON__P00761,P22532_SPRR2D,3
P04080_CSTB,P00558_PGK1,1
P04080_CSTB,P06870_KLK1,1
CON__P00761,P06870_KLK1,5
P04080_CSTB,P16403_HIST1H1C,1
CON__P00761,P16403_HIST1H1C,6
P30044_PRDX5,P01009_SERPINA1,1
P30044_PRDX5,P01008_SERPINC1,1
P30044_PRDX5,P02675_FGB,1
Q9BRF8_CPPED1,P05386_RPLP1,1
P08670_VIM,P01009_SERPINA1,1
P08670_VIM,P00330_ADH1,1
P18669_PGAM1,P05386_RPLP1,1
P18669_PGAM1,P01009_SERPINA1,2
P18669_PGAM1,P01008_SERPINC1,1
P05386_RPLP1,P23381_WARS,1
P05386_RPLP1,P61626_LYZ,1
P05386_RPLP1,A0A075B6R9,2
P05386_RPLP1,P13688_CEACAM1,1
P05386_RPLP1,P63261_ACTG1,1
CON__P00761,P63261_ACTG1,4
P05386_RPLP1,P62328_TMSB4X,1
P05386_RPLP1,P68032_ACTC1,1
P05386_RPLP1,P32926_DSG3,1
P05386_RPLP1,P20618_PSMB1,1
P05386_RPLP1,Q9HD89_RETN,1
P05386_RPLP1,P01763,1
P05386_RPLP1,P10412_HIST1H1E,1
P05386_RPLP1,P31025_LCN1,1
P05386_RPLP1,P04004_VTN,1
P05386_RPLP1,Q9UGM3_6_DMBT1,1
P05386_RPLP1,P01008_SERPINC1,1
P05386_RPLP1,A0A087WZW8,1
CON__P00761,A0A087WZW8,1
P05386_RPLP1,P25311_AZGP1,1
P05386_RPLP1,P19823_ITIH2,1
P05386_RPLP1,P62942_FKBP1A,1
P05386_RPLP1,P09228_CST2,1
P05386_RPLP1,Q07654_TFF3,1
CON__P00761,Q07654_TFF3,2
P05386_RPLP1,P08603_CFH,1
P05386_RPLP1,P02675_FGB,1
P05386_RPLP1,P04792_HSPB1,1
CON__P00761,P04792_HSPB1,4
P05386_RPLP1,P20061_TCN1,1
P05386_RPLP1,P21333_FLNA,1
P05386_RPLP1,P01023_A2M,1
P05386_RPLP1,P09382_LGALS1,1
P05386_RPLP1,P04217_A1BG,1
P05386_RPLP1,P02647_APOA1,1
CON__P00761,P02647_APOA1,4
P05386_RPLP1,P06331,1
CON__P00761,P06331,4
P05386_RPLP1,P01876_IGHA1,1
P05386_RPLP1,P16401_HIST1H1B,1
P05386_RPLP1,P07900_2_HSP90AA1,1
CON__P00761,P07900_2_HSP90AA1,7
P05386_RPLP1,P06702_S100A9,1
P05386_RPLP1,P0C0L5_C4B,1
P05386_RPLP1,P62937_PPIA,1
P05386_RPLP1,P40925_3_MDH1,1
P05386_RPLP1,P01622,1
CON__P00761,P01622,1
P05386_RPLP1,CON__P01966,1
P05386_RPLP1,P31946_2,1
CON__P00761,P31946_2,2
P05386_RPLP1,P30740_SERPINB1,1
P05386_RPLP1,P61160_2_ACTR2,1
P05386_RPLP1,Q68D86_CCDC102B,1
P05386_RPLP1,P14618_PKM2,1
P05386_RPLP1,E9PK25_CFL1,1
P05386_RPLP1,P23280_CA6,1
P05386_RPLP1,P01616,1
P05386_RPLP1,Q8TAX7_MUC7,1
P05386_RPLP1,P00558_PGK1,1
P05386_RPLP1,P06870_KLK1,1
P05386_RPLP1,P02671_FGA,1
P05386_RPLP1,P02787_TF,1
CON__P00761,P02787_TF,2
P05386_RPLP1,P16403_HIST1H1C,1
P05386_RPLP1,Q9UKR3_KLK13,1
P05386_RPLP1,P55058_PLTP,1
CON__P00761,P55058_PLTP,4
P05386_RPLP1,P02750_LRG1,2
CON__P00761,P02750_LRG1,2
P13796_LCP1,P01009_SERPINA1,1
P13796_LCP1,P02675_FGB,1
P23381_WARS,P08603_CFH,1
P23381_WARS,P02675_FGB,1
P23381_WARS,P01859_IGHG2,1
CON__P00761,O15145_ARPC3,1
O15145_ARPC3,P01009_SERPINA1,1
P61626_LYZ,P01009_SERPINA1,1
P09429_HMGB1,B7Z6Z4_MYL6,1
P09429_HMGB1,P06870_KLK1,1
A0A075B6L0_IGLC3,P01009_SERPINA1,1
A0A075B6L0_IGLC3,P01008_SERPINC1,1
A0A075B6L0_IGLC3,P00330_ADH1,1
Q8TDL5_BPIFB1,P01009_SERPINA1,1
Q8TDL5_BPIFB1,P01008_SERPINC1,1
Q8TDL5_BPIFB1,P02675_FGB,1
P01009_SERPINA1,A0A075B6R9,1
P01009_SERPINA1,P13688_CEACAM1,1
P01009_SERPINA1,P63261_ACTG1,1
P01009_SERPINA1,P20618_PSMB1,1
P01009_SERPINA1,P04264_KRT1,1
P01009_SERPINA1,O00391_QSOX1,1
CON__P00761,O00391_QSOX1,1
P01009_SERPINA1,Q9HD89_RETN,1
P01009_SERPINA1,P01763,1
P01009_SERPINA1,P10412_HIST1H1E,2
P01009_SERPINA1,P25311_AZGP1,1
P01009_SERPINA1,P19823_ITIH2,1
P01009_SERPINA1,P62942_FKBP1A,1
P01009_SERPINA1,P06396_GSN,1
CON__P00761,P06396_GSN,2
P01009_SERPINA1,A0A0A0MTS2_GPI,1
P01009_SERPINA1,B7Z6Z4_MYL6,1
P01009_SERPINA1,P08603_CFH,1
P01009_SERPINA1,P02675_FGB,1
P01009_SERPINA1,P04792_HSPB1,1
P01009_SERPINA1,P21333_FLNA,1
P01009_SERPINA1,P09382_LGALS1,1
P01009_SERPINA1,P02647_APOA1,1
P01009_SERPINA1,P06331,1
P01009_SERPINA1,P24158_PRTN3,1
P01009_SERPINA1,P16401_HIST1H1B,1
P01009_SERPINA1,P0C0L5_C4B,1
P01009_SERPINA1,A0A087WT59_TTR,1
CON__P00761,A0A087WT59_TTR,1
P01009_SERPINA1,P00330_ADH1,1
P01009_SERPINA1,P06454_PTMA,1
P01009_SERPINA1,P31946_2,1
P01009_SERPINA1,P30740_SERPINB1,1
P01009_SERPINA1,Q68D86_CCDC102B,1
P01009_SERPINA1,P05109_S100A8,1
CON__P00761,P05109_S100A8,2
P01009_SERPINA1,E9PK25_CFL1,1
P01009_SERPINA1,P23280_CA6,1
P01009_SERPINA1,P01616,1
P01009_SERPINA1,Q8TAX7_MUC7,1
P01009_SERPINA1,P22532_SPRR2D,1
P01009_SERPINA1,P00558_PGK1,1
P01009_SERPINA1,P06870_KLK1,1
P01009_SERPINA1,P01859_IGHG2,1
P01009_SERPINA1,Q9UKR3_KLK13,1
P01009_SERPINA1,P55058_PLTP,1
P01009_SERPINA1,A0A087WV23_SH3BGRL3,1
A0A075B6R9,P01763,1
A0A075B6R9,B7Z6Z4_MYL6,1
A0A075B6R9,P02675_FGB,1
A0A075B6R9,A0A087WV23_SH3BGRL3,1
P13688_CEACAM1,P01008_SERPINC1,1
P13688_CEACAM1,P00330_ADH1,1
P63261_ACTG1,P02675_FGB,1
P63261_ACTG1,P00330_ADH1,1
P62328_TMSB4X,P01008_SERPINC1,1
P62328_TMSB4X,P02675_FGB,1
P68032_ACTC1,P00330_ADH1,1
P32926_DSG3,P01008_SERPINC1,1
P68371_TUBB4B,P02675_FGB,1
P20618_PSMB1,P01008_SERPINC1,1
P20618_PSMB1,P00330_ADH1,1
P04264_KRT1,P01008_SERPINC1,1
CON__P00761,P52209_PGD,3
P52209_PGD,P01008_SERPINC1,1
P52209_PGD,P02675_FGB,1
P52209_PGD,P00330_ADH1,1
Q9HD89_RETN,P00330_ADH1,1
Q9HD89_RETN,P01859_IGHG2,1
P55786_NPEPPS,P01008_SERPINC1,1
P55786_NPEPPS,P02675_FGB,1
P55786_NPEPPS,P01859_IGHG2,1
P01763,P02675_FGB,1
P01763,P00330_ADH1,1
P01763,P01859_IGHG2,1
P31025_LCN1,P01008_SERPINC1,1
P31025_LCN1,P02675_FGB,1
P31025_LCN1,P00330_ADH1,1
P04004_VTN,P00330_ADH1,1
Q9UGM3_6_DMBT1,B7Z6Z4_MYL6,1
Q9UGM3_6_DMBT1,P02675_FGB,1
Q9UGM3_6_DMBT1,P01876_IGHA1,1
Q9UGM3_6_DMBT1,P00330_ADH1,1
P01008_SERPINC1,P19823_ITIH2,1
P01008_SERPINC1,P62942_FKBP1A,1
P01008_SERPINC1,P09228_CST2,1
P01008_SERPINC1,CON__P13645_KRT10,1
P01008_SERPINC1,P01023_A2M,1
P01008_SERPINC1,P02647_APOA1,1
P01008_SERPINC1,P01876_IGHA1,1
P01008_SERPINC1,P16401_HIST1H1B,1
P01008_SERPINC1,P07900_2_HSP90AA1,1
P01008_SERPINC1,P62937_PPIA,1
P01008_SERPINC1,P00330_ADH1,1
P01008_SERPINC1,P40925_3_MDH1,1
P01008_SERPINC1,CON__P01966,1
P01008_SERPINC1,P30740_SERPINB1,1
P01008_SERPINC1,P61160_2_ACTR2,1
P01008_SERPINC1,Q68D86_CCDC102B,1
P01008_SERPINC1,O15511_2_ARPC5,1
CON__P00761,O15511_2_ARPC5,1
P01008_SERPINC1,P23280_CA6,1
P01008_SERPINC1,P01616,1
P01008_SERPINC1,Q8TAX7_MUC7,1
P01008_SERPINC1,P22532_SPRR2D,1
P01008_SERPINC1,P01859_IGHG2,1
P01008_SERPINC1,P02750_LRG1,1
P01008_SERPINC1,A0A087WV23_SH3BGRL3,1
P62942_FKBP1A,B7Z6Z4_MYL6,1
P62942_FKBP1A,P02675_FGB,1
P09228_CST2,P00330_ADH1,1
P06396_GSN,P02675_FGB,1
A0A0A0MTS2_GPI,P00330_ADH1,1
B7Z6Z4_MYL6,P02675_FGB,1
B7Z6Z4_MYL6,P62937_PPIA,1
B7Z6Z4_MYL6,P23280_CA6,1
B7Z6Z4_MYL6,P01616,1
B7Z6Z4_MYL6,P16403_HIST1H1C,1
Q07654_TFF3,P02675_FGB,1
P08603_CFH,P00330_ADH1,1
P02675_FGB,P04792_HSPB1,1
P02675_FGB,P01023_A2M,1
P02675_FGB,P04217_A1BG,1
P02675_FGB,P35321_SPRR1A,1
CON__P00761,P35321_SPRR1A,1
P02675_FGB,P02647_APOA1,1
P02675_FGB,P06331,1
P02675_FGB,P07900_2_HSP90AA1,1
P02675_FGB,P62937_PPIA,1
P02675_FGB,P06454_PTMA,1
P02675_FGB,P61160_2_ACTR2,1
P02675_FGB,P05109_S100A8,1
P02675_FGB,P14618_PKM2,1
P02675_FGB,P23280_CA6,1
P02675_FGB,P01616,1
P02675_FGB,P02671_FGA,1
P02675_FGB,P01859_IGHG2,1
P02675_FGB,P16403_HIST1H1C,1
P02675_FGB,Q9UKR3_KLK13,1
P02675_FGB,P55058_PLTP,1
P04792_HSPB1,P01859_IGHG2,1
P21333_FLNA,P00330_ADH1,1
P09382_LGALS1,P00330_ADH1,1
P06331,P00330_ADH1,1
P01876_IGHA1,P00330_ADH1,1
P16401_HIST1H1B,P00330_ADH1,1
P07900_2_HSP90AA1,P00330_ADH1,1
P07900_2_HSP90AA1,P30740_SERPINB1,1
P07900_2_HSP90AA1,P01859_IGHG2,1
P07900_2_HSP90AA1,P16403_HIST1H1C,1
P62937_PPIA,A0A087WV23_SH3BGRL3,1
P00330_ADH1,P40925_3_MDH1,1
P00330_ADH1,P30740_SERPINB1,1
P00330_ADH1,Q68D86_CCDC102B,1
P00330_ADH1,P14618_PKM2,1
P00330_ADH1,P01861_IGHG4,1
CON__P00761,P01861_IGHG4,1
P00330_ADH1,P01616,1
P00330_ADH1,P06870_KLK1,1
P00330_ADH1,P02787_TF,1
P00330_ADH1,Q9UKR3_KLK13,1
P00330_ADH1,P55058_PLTP,1
P30740_SERPINB1,A0A087WV23_SH3BGRL3,1
P16403_HIST1H1C,A0A087WV23_SH3BGRL3,1
P60174_TPI1,O43707_ACTN4,1
O43707_ACTN4,P31946_2,1
P60174_TPI1,P31946_2,7
P60174_TPI1,Q9HD89_RETN,1
Q9HD89_RETN,P31946_2,1
P60174_TPI1,Q9UGM3_6_DMBT1,1
Q9UGM3_6_DMBT1,P31946_2,1
P60174_TPI1,P19823_ITIH2,1
P19823_ITIH2,P31946_2,1
P60174_TPI1,P09228_CST2,1
P09228_CST2,A0A087WT59_TTR,1
P60174_TPI1,A0A087WT59_TTR,1
P60174_TPI1,CON__P01966,1
CON__P01966,P31946_2,1
P31946_2,P30740_SERPINB1,1
P60174_TPI1,P30740_SERPINB1,1
P31946_2,P61160_2_ACTR2,2
P60174_TPI1,P61160_2_ACTR2,1
B4E1Z4_CFB,P10412_HIST1H1E,1
P10412_HIST1H1E,P62942_FKBP1A,1
B4E1Z4_CFB,P62942_FKBP1A,1
P18669_PGAM1,P16403_HIST1H1C,1
P18669_PGAM1,P31946_2,1
P18669_PGAM1,P61160_2_ACTR2,1
A0A075B6R9,P02750_LRG1,1
P10412_HIST1H1E,O15511_2_ARPC5,1
P01009_SERPINA1,O15511_2_ARPC5,1
P68032_ACTC1,A0A087WT59_TTR,1
A0A087WT59_TTR,P31946_2,2
P68032_ACTC1,P31946_2,1
P31946_2,Q8TAX7_MUC7,1
A0A087WT59_TTR,Q8TAX7_MUC7,1
