*N,acc_tree,groups
3,0.861111111111,CON__P35527_KRT9,P02760_AMBP,P00330_ADH1
3,0.861111111111,CON__P35527_KRT9,P31946_2,P00330_ADH1
3,0.861111111111,CON__P35527_KRT9,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,CON__P35527_KRT9,P00330_ADH1,P02787_TF
3,0.861111111111,CON__P35527_KRT9,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02753_RBP4,P02647_APOA1,P00330_ADH1
3,0.861111111111,P02753_RBP4,P14174_MIF,P00330_ADH1
3,0.861111111111,P02753_RBP4,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P02753_RBP4,P02760_AMBP,P00330_ADH1
3,0.861111111111,P02753_RBP4,P31946_2,P00330_ADH1
3,0.861111111111,P02753_RBP4,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P02753_RBP4,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P02753_RBP4,P00330_ADH1,P02763_ORM1
3,0.861111111111,P02753_RBP4,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P02753_RBP4,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P02753_RBP4,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P02753_RBP4,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P02753_RBP4,P00330_ADH1,P02769_BSA
3,0.861111111111,P02647_APOA1,P52209_PGD,P00330_ADH1
3,0.861111111111,P02647_APOA1,P09960_LTA4H,P00330_ADH1
3,0.861111111111,P02647_APOA1,P31946_2,P00330_ADH1
3,0.861111111111,P02647_APOA1,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P02647_APOA1,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,P02647_APOA1,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P02647_APOA1,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P52209_PGD,P01763,P00330_ADH1
3,0.861111111111,P52209_PGD,P14174_MIF,P00330_ADH1
3,0.861111111111,P52209_PGD,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P52209_PGD,P09960_LTA4H,P00330_ADH1
3,0.861111111111,P52209_PGD,P02760_AMBP,P00330_ADH1
3,0.861111111111,P52209_PGD,P00489_GPB,P00330_ADH1
3,0.861111111111,P52209_PGD,P31946_2,P00330_ADH1
3,0.861111111111,P52209_PGD,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P52209_PGD,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,P52209_PGD,P00330_ADH1,P02763_ORM1
3,0.861111111111,P52209_PGD,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P52209_PGD,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P52209_PGD,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P52209_PGD,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P52209_PGD,P00330_ADH1,P02787_TF
3,0.861111111111,P52209_PGD,P00330_ADH1,P62937_PPIA
3,0.861111111111,P52209_PGD,P00330_ADH1,P02769_BSA
3,0.861111111111,P52209_PGD,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P01763,P31946_2,P00330_ADH1
3,0.861111111111,P01763,P00330_ADH1,P02787_TF
3,0.861111111111,P01763,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02790_HPX,P02760_AMBP,P00330_ADH1
3,0.861111111111,P02790_HPX,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P02790_HPX,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P14174_MIF,P09960_LTA4H,P00330_ADH1
3,0.861111111111,P14174_MIF,P02760_AMBP,P00330_ADH1
3,0.861111111111,P14174_MIF,P31946_2,P00330_ADH1
3,0.861111111111,P14174_MIF,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P14174_MIF,P00330_ADH1,P02763_ORM1
3,0.861111111111,P14174_MIF,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P14174_MIF,P00330_ADH1,P02787_TF
3,0.861111111111,P09211_GSTP1,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P09211_GSTP1,P31946_2,P00330_ADH1
3,0.861111111111,P09211_GSTP1,P00330_ADH1,P02787_TF
3,0.861111111111,P01859_IGHG2,P02760_AMBP,P00330_ADH1
3,0.861111111111,P01859_IGHG2,P00489_GPB,P00330_ADH1
3,0.861111111111,P01859_IGHG2,P31946_2,P00330_ADH1
3,0.861111111111,P01859_IGHG2,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P01859_IGHG2,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,P01859_IGHG2,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P01859_IGHG2,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P01859_IGHG2,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P01859_IGHG2,P00330_ADH1,P02787_TF
3,0.861111111111,P01859_IGHG2,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P09960_LTA4H,P31946_2,P00330_ADH1
3,0.861111111111,P09960_LTA4H,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P09960_LTA4H,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P09960_LTA4H,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P01034_CST3,P31946_2,P00330_ADH1
3,0.861111111111,P01034_CST3,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P01034_CST3,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P02760_AMBP,P00489_GPB,P00330_ADH1
3,0.861111111111,P02760_AMBP,P31946_2,P00330_ADH1
3,0.861111111111,P02760_AMBP,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,P02760_AMBP,P00330_ADH1,Q14974_KPNB1
