,12.5fmol_C1,12.5fmol_C10,12.5fmol_C2,12.5fmol_C4,12.5fmol_C5,12.5fmol_C8,12.5fmol_Ro,25fmol_semtumor_S09,25fmol_semtumor_S36,25fmol_semtumor_S49,25fmol_semtumor_S57,25fmol_semtumor_S61,25fmol_semtumor_S64,25fmol_semtumor_S68,25fmol_semtumor_T16,50fmol_T1T2_S17,50fmol_T1T2_S57,50fmol_T1T2_S77,50fmol_T1T2_T12,50fmol_T1T2_T20,50fmol_T1T2_T22,50fmol_T1T2_T23
genes,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol
P80748,25.00427,23.06579,24.57779,0,23.70398,25.25368,23.09785,25.48127,25.40324,23.11277,24.69296,23.97027,24.25386,23.74468,0,22.6682,24.77625,26.42238,25.84372,25.40999,25.60978,0
Q01469_FABP5,28.51266,26.47647,27.51126,29.94963,27.39705,28.9577,26.05358,26.0617,28.11063,29.17153,27.35917,27.65949,27.62554,28.25935,27.1377,24.94083,27.51051,25843,26.17737,27.78538,27.63291,28.10074
Q01518_CAP1,24.50306,26.58047,24.69811,25.69906,24.03221,24.85548,25.33081,23.93238,24.8511,26.05347,24.36406,23.42892,25.88444,24.79843,25.42634,26.02449,24.70783,24.56842,25.20251,25.17813,24.59554,24.30814
Q02413_DSG1,24.8691,23.44985,24.03892,25.57811,24.1453,24.13977,23.45563,23.50882,21.78947,21.95968,23.46849,25.21719,24.52815,25.26592,22.77762,0,23.78187,23.52659,0,23.92967,22.65844,23.14345
Q02487_DSC2,25.18986,23.4821,24.22465,25.16469,23.27597,24.79749,24.14515,23.91652,23.25225,23.2024,24.35494,24.38929,24.62689,25.42627,23.11261,0,23.51785,23.34422,22.00844,25.07631,23.23874,22.78027
Q07654_TFF3,22.70297,22.77344,23.4353,23.01275,22.58316,22.92964,23.66058,20.52621,0,0,21.32767,25.32677,23.27341,23.48886,21.21152,21.62319,23.76091,23.2617,21.04407,0,21.27321,22.18843
Q08188_TGM3,26.4906,25.13453,26.14789,25.87914,23.55766,25.28203,25.14032,23.34123,24.1744,24.00136,24.42963,22.37928,23.80754,26.08475,24.46133,0,27.04667,23.89393,0,25.82486,24.87713,22.35421
Q08380_LGALS3BP,24.29256,23.54734,24.22516,24.02149,24.25458,24.73712,24.82167,22.50315,20.97379,22.8588,23.78087,25.06821,24.03842,27834,21.94131,21.68097,23.56034,24.76613,21.96021,22.75044,24.21793,21.69761
Q14508_WFDC2,24.88902,24.44689,25.20687,24.2186,25.00543,26.21338,24.01767,24.11012,23.9904,23.48296,23.88521,25.6373,25.18442,26.73905,23.57762,23.23374,24.61538,24.94584,24.31541,24.79803,25.02534,0
Q14847_LASP1,21.58197,23.02408,20.61594,22.69954,20.6977,22.22867,19.71415,20.99134,19.99604,22.59901,20.50028,0,22.95541,20.32323,22.39765,22.09481,20.72717,20.56188,21.79887,22.51639,20.95411,22.7765
Q14974_KPNB1,19.88929,20.78843,20.13871,21.27099,0,20.16042,21.44718,0,19.33582,20.92702,0,20.85529,20.11794,20.00936,19.80206,20.51036,21.35499,19.89107,18.55465,20.91269,20.82392,0
Q14CN2_CLCA4,21.9753,21.29261,22.6042,23.42637,0,21.53217,23.10569,22.83723,0,22.37642,0,22.14024,21.1728,23.38126,0,0,23.48124,0,0,22.47358,0,23.08068
H0YBX6_UBE2V2,0,20.57228,20.57015,20.86937,0,0,20213,0,20.67573,20.61997,0,20.39236,20.46204,22.15326,20.29502,20.72025,20.84207,20.28093,0,0,20.55553,21.39095
A0A087WV23_SH3BGRL3,26.06036,25.49036,24.19993,25.65037,24.97566,25.1102,22.04186,24.69434,23.6212,25.31503,23.57184,20.70717,23.87004,24.89611,24.98181,23.56918,23.33443,21.56955,23.24627,25.64812,24.92488,25.26105
Q68D86_CCDC102B,25.44667,24.62511,26.52262,23.51629,26.97815,24.16638,28.70464,21.62382,24.76956,26.15544,24.23359,28.0644,25.89192,24.14118,23.22367,25.63489,28.07092,25.27938,23.14673,22.08083,24.51899,25.74168
Q6P5S2_C6orf58,26.98272,26.37566,23.10156,25.9602,28.04343,24.83306,25.84242,24.47104,0,22.16987,26.1622,28.11605,26.27876,25.21619,25.70348,23.21162,25.87286,24.52934,24.84757,24.76598,25.68592,25.45673
Q8N4F0_BPIFB2,27.72611,28.20667,29.45607,28.80861,28.01521,28.1417,28.77646,26.50456,22.42386,25.3541,26.68472,30.99024,28.44829,29.94377,26.67828,27.12278,29.8336,29.36244,26.15917,26.51179,27.60045,27.33398
Q8TAX7_MUC7,26.36449,26.15242,24.49893,22.64751,28.75066,23.11243,29.72421,24.09467,21.06085,0,27.47282,27.68826,26.4346,24.37279,25.65297,23.01548,26.16888,23.90242,25.94521,27.13751,26.41167,23.83403
Q8TDL5_BPIFB1,23.06847,25.1812,27.80544,23.58176,22.5185,23.68795,27.05786,24.14499,0,22.20502,24.17058,29.7748,24.38805,25.59923,23.23447,23.88437,27.3652,28.7441,0,21.01298,24.66758,0
Q96DA0_ZG16B,22.20613,21.7177,23.82046,21.38084,23.71942,22.01349,27.2035,0,0,21.45618,22.5039,28.02083,22.06618,22.80219,23.81049,22.36698,24.67858,22.50378,22.65895,0,24.10318,0
Q96DR5_BPIFA2,22.69645,25.46706,26.50996,24.25911,23.37265,24.73887,27.69942,22.66878,20.91013,23.37716,26.39588,27.99965,25.41828,26.29724,24.97351,24.22243,25.14957,25.41351,23.54863,23.74622,24.88325,24.81005
Q99536_VAT1,22.06214,23.27427,22.31235,23.6903,22.05036,22.92713,22.54675,0,23.09144,23.05793,22.74351,21.7782,23.27753,22.61912,22.37475,23.61313,24.10286,22.01842,22.56149,24.08618,22.88577,22.52755
Q99879_HIST1H2BM,25.1882,26.74445,26.40368,27.43889,25.29411,26.29088,26.65349,22.77678,23.01711,24.65414,23.64768,21.52411,25.02433,26.08499,24.50682,25.60346,24.30549,24.09563,20.56486,26.6245,25.60382,0
Q9BQR3_PRSS27,0,0,0,20.18507,0,19.49166,20.37687,19.75856,20.7032,20.14607,0,22.50579,0,23.0432,0,0,22.16843,0,0,0,19.57924,22.36541
Q9BRA2_TXNDC17,21.18441,21.13752,0,22.16282,21.22511,21.04527,19.85758,0,21.88748,23.86202,21.15968,21.33068,20.99845,24.75715,21.08719,0,21.45262,20.88472,0,20.94521,21.22523,21.88256
Q9BRF8_CPPED1,23.39467,0,21.52172,0,21.52229,22.03446,0,21.59309,21.68136,0,0,0,22.16447,22.24086,0,22.04657,21.36688,0,22.43094,23.56883,0,0
Q9HC84_MUC5B,33.16588,31.96206,33.78673,31.8486,31.48999,31.76505,32.51329,30.71178,24.26119,26.3505,30.54416,33.41349,32.22605,33.42929,30.31311,30.11805,32.46906,33.02084,31.01545,28.96639,31.38283,29.68305
Q9HD89_RETN,21.06842,20.62471,19.80133,21.18083,0,20.77217,21.37342,0,21.15937,0,0,0,22.07483,19.02832,20.58719,21.22618,19.3767,19.79473,20.9894,0,19.4153,0
Q9NQ38_3_SPINK5,22821,22.5191,23.77364,23.4339,23.51039,23.6871,22.78205,0,22.16156,22.72109,22.17103,21.82714,22.9954,22.90733,21.97712,0,22.42668,21.56742,0,24.59895,21.10194,23.45626
Q9UBC9_SPRR3,0,21.74049,21.88476,23.31493,0,22.42939,21.73979,25.43333,0,0,23.44922,24.88818,21.48773,24.77972,22.46339,0,24.80519,22.26416,22.08952,0,0,29.75451
Q9UBG3_CRNN,24.67756,23.24217,24.70055,25.16254,0,23.80646,25.84723,22.12237,22.38026,0,24.20992,24.73185,22.43138,24.02107,23.75766,22.67068,26.53677,22.87555,23.45939,24.17995,0,25.03179
Q9UBX7_3_KLK11,22048,20.63812,22.14582,19.91918,20.71699,20.11655,20.72084,19.73074,20.48316,20.72725,20.10776,23.41467,20.35714,21.97369,19.72301,19.34069,21.16269,21.16699,0,0,20.98468,21.41576
Q9UGM3_6_DMBT1,29.76814,26.69246,30.80647,28.06984,31.06278,29.51232,31.64547,28.16868,24.7251,28.77985,29.50038,31.13901,30.21141,29.1321,28.11133,26.60201,29547,29.5945,28.82098,28.50529,29.83218,28.08902
Q9UIV8_SERPINB13,22.70712,20.27458,22.39893,22.55478,0,22.40556,21.78975,0,22.3805,22.26511,0,21.81327,22.27373,24.32738,21.41782,0,23.29936,21.88069,0,22.91727,22.33041,24.26607
Q9UKR3_KLK13,22.28393,21.68885,22.15066,22.18447,22.00796,23.1547,21.41323,21.63236,22.46066,23.44922,22.11226,24.45004,20.85118,23.28602,0,0,22.64218,21.79551,0,22626,22.71825,22.14137
V9HW75_NUCB2,21.49531,21.72966,24.86391,24162,22.8874,23.73034,24.37378,21.78393,0,23.04638,24.03171,25.17333,23.98746,22.34881,22.03969,22.85068,22.87691,25.01376,22.84397,0,0,22.63978
